Program	Code	Mnemonic	Summary	Severity	HelpLink
C/C++ Compiler	C2015		too many characters in constant	Error	http://msdn.microsoft.com/en-us/library/s7f33t4h.aspx
C/C++ Compiler	C2017		illegal escape sequence	Error	http://msdn.microsoft.com/en-us/library/29t70y03.aspx
C/C++ Compiler	C2018		unknown character 'hexnumber'	Error	http://msdn.microsoft.com/en-us/library/977dd354.aspx
C/C++ Compiler	C2019		expected preprocessor directive, found 'character'	Error	http://msdn.microsoft.com/en-us/library/t805xaef.aspx
C/C++ Compiler	C2020		'member' : 'class' member redefinition	Error	http://msdn.microsoft.com/en-us/library/kkfkh5by.aspx
C/C++ Compiler	C2021		expected exponent value, not 'character'	Error	http://msdn.microsoft.com/en-us/library/986k91hd.aspx
C/C++ Compiler	C2022		'number' : too big for character	Error	http://msdn.microsoft.com/en-us/library/0dw8eyws.aspx
C/C++ Compiler	C2026		string too big, trailing characters truncated	Error	http://msdn.microsoft.com/en-us/library/dddywwsc.aspx
C/C++ Compiler	C2027		use of undefined type 'type'	Error	http://msdn.microsoft.com/en-us/library/6c2dk0ah.aspx
C/C++ Compiler	C2032		'identifier' : function cannot be member of struct/union 'structorunion'	Error	http://msdn.microsoft.com/en-us/library/39ewy34z.aspx
C/C++ Compiler	C2034		'identifier' : type of bit field too small for number of bits	Error	http://msdn.microsoft.com/en-us/library/w99za7yk.aspx
C/C++ Compiler	C2036		'identifier' : unknown size	Error	http://msdn.microsoft.com/en-us/library/1kay26wa.aspx
C/C++ Compiler	C2039		'identifier1' : is not a member of 'identifier2'	Error	http://msdn.microsoft.com/en-us/library/fdwb3fd7.aspx
C/C++ Compiler	C2040		'operator' : 'identifier1' differs in levels of indirection from 'identifier2'	Error	http://msdn.microsoft.com/en-us/library/kb3dky0e.aspx
C/C++ Compiler	C2041		illegal digit 'character' for base 'number'	Error	http://msdn.microsoft.com/en-us/library/setawcaz.aspx
C/C++ Compiler	C2050		switch expression not integral	Error	http://msdn.microsoft.com/en-us/library/sx5yxyzc.aspx
C/C++ Compiler	C2051		case expression not constant	Error	http://msdn.microsoft.com/en-us/library/ez8ttz2y.aspx
C/C++ Compiler	C2052		'type' : illegal type for case expression	Error	http://msdn.microsoft.com/en-us/library/0210dhwe.aspx
C/C++ Compiler	C2053		'identifier' : wide string mismatch	Error	http://msdn.microsoft.com/en-us/library/988h0zdd.aspx
C/C++ Compiler	C2054		expected '(' to follow 'identifier'	Error	http://msdn.microsoft.com/en-us/library/0cyzw7b9.aspx
